Pollutant,Model,0,1,2,3,4,5,RMSE,MAE,MAPE
Pollutant,Prophet,PM2.5,PM10,CO,NO2,SO2,O3,,,
RMSE,Prophet,4.0,4.85,0.12,1.18,9.41,0.01,,,
MAE,Prophet,3.57,4.05,0.11,1.13,7.67,0.0,,,
MAPE,Prophet,53.21,60.16,33.08,152.88,40.16,25.58,,,
PM2.5,SARIMA,,,,,,,3.5,2.49,22.13
PM10,SARIMA,,,,,,,1.15,0.98,14.82
CO,SARIMA,,,,,,,0.03,0.02,9.23
NO2,SARIMA,,,,,,,0.36,0.31,78.15
SO2,SARIMA,,,,,,,4.21,3.54,37.19
O3,SARIMA,,,,,,,0.01,0.01,33.65
PM2.5,XGBoost,,,,,,,2.34,1.91,17.02
PM10,XGBoost,,,,,,,1.85,1.45,20.97
CO,XGBoost,,,,,,,0.01,0.01,4.94
NO2,XGBoost,,,,,,,0.15,0.12,22.94
SO2,XGBoost,,,,,,,1.47,0.92,8.47
O3,XGBoost,,,,,,,0.0,0.0,6.41
