date,datatype,station,attributes,value
2018-01-01T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.0
2018-01-02T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.0
2018-01-03T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.0
2018-01-06T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.0
2018-01-07T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.0
2018-01-08T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.0
2018-01-09T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.0
2018-01-10T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.0
2018-01-11T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.0
2018-01-12T00:00:00,PRCP,GHCND:US1CTFR0039,"T,,N,0800",0.0
2018-01-13T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",1.6
2018-01-14T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.0
2018-01-15T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.0
2018-01-16T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.0
2018-01-17T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0830",0.12
2018-01-18T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.13
2018-01-19T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.0
2018-01-20T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.0
2018-01-21T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0730",0.0
2018-01-22T00:00:00,PRCP,GHCND:US1CTFR0039,"T,,N,0900",0.0
2018-01-23T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0805",0.17
2018-01-24T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.25
2018-01-25T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.0
2018-01-26T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.0
2018-01-27T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.0
2018-01-28T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.15
2018-01-29T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.04
2018-01-30T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0710",0.25
2018-01-31T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.0
2018-02-02T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.21
2018-02-03T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.0
2018-02-04T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.0
2018-02-05T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",1.03
2018-02-06T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.0
2018-02-07T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0730",0.0
2018-02-08T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0730",0.65
2018-02-09T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.0
2018-02-10T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.0
2018-02-11T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.93
2018-02-12T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",1.03
2018-02-13T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.0
2018-02-14T00:00:00,PRCP,GHCND:US1CTFR0039,"T,,N,0715",0.0
2018-02-15T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.08
2018-02-16T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0725",0.14
2018-02-17T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.0
2018-02-18T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.74
2018-02-19T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.0
2018-02-20T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.07
2018-02-21T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.0
2018-02-22T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.09
2018-02-23T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.14
2018-02-24T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,1030",0.2
2018-02-25T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0820",0.55
2018-02-26T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.17
2018-02-27T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.0
2018-02-28T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.0
2018-03-01T00:00:00,PRCP,GHCND:US1CTFR0039,"T,,N,0800",0.0
2018-03-02T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0820",1.94
2018-03-03T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0650",0.61
2018-03-08T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",1.3
2018-03-09T00:00:00,PRCP,GHCND:US1CTFR0039,"T,,N,0800",0.0
2018-03-10T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.0
2018-03-11T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.0
2018-03-12T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.0
2018-03-15T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.01
2018-03-17T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.0
2018-03-18T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.0
2018-03-19T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.0
2018-03-20T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.0
2018-03-21T00:00:00,PRCP,GHCND:US1CTFR0039,"T,,N,0810",0.0
2018-03-22T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.64
2018-03-23T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.0
2018-03-24T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.0
2018-03-25T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.0
2018-03-26T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.0
2018-03-27T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.0
2018-03-28T00:00:00,PRCP,GHCND:US1CTFR0039,"T,,N,0830",0.0
2018-03-29T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.0
2018-03-30T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0825",0.02
2018-03-31T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.04
2018-04-01T00:00:00,PRCP,GHCND:US1CTFR0039,"T,,N,0800",0.0
2018-04-02T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0855",0.61
2018-04-03T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.0
2018-04-04T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0750",0.39
2018-04-05T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.09
2018-04-06T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.0
2018-04-07T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.07
2018-04-08T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.0
2018-04-09T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.0
2018-04-10T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0855",0.05
2018-04-12T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.0
2018-04-13T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.0
2018-04-14T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.0
2018-04-15T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0749",0.0
2018-04-16T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.76
2018-04-17T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",1.92
2018-04-18T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.02
2018-04-19T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0755",0.21
2018-04-20T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.09
2018-05-03T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.0
2018-05-04T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0700",0.25
2018-05-05T00:00:00,PRCP,GHCND:US1CTFR0039,"T,,N,0800",0.0
2018-05-06T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.0
2018-05-07T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.0
2018-05-08T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.0
2018-05-09T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.0
2018-05-10T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0745",0.0
2018-05-11T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.09
2018-05-12T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0719",0.03
2018-05-13T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.12
2018-05-14T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.1
2018-05-15T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.01
2018-05-16T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0730",0.29
2018-05-17T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0820",0.69
2018-05-18T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.06
2018-05-19T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.12
2018-05-20T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.49
2018-05-21T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.09
2018-05-22T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0745",0.0
2018-05-23T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.28
2018-05-24T00:00:00,PRCP,GHCND:US1CTFR0039,"T,,N,0800",0.0
2018-05-25T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.0
2018-05-26T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.0
2018-05-27T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0802",0.13
2018-05-28T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.11
2018-05-29T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.0
2018-05-30T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.0
2018-05-31T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.0
2018-06-01T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.12
2018-06-02T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.01
2018-06-16T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.0
2018-06-17T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.0
2018-06-18T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.0
2018-06-19T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.05
2018-06-20T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.0
2018-06-21T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.38
2018-06-22T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.0
2018-06-23T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.04
2018-06-24T00:00:00,PRCP,GHCND:US1CTFR0039,"T,,N,0800",0.0
2018-06-25T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.66
2018-06-26T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.0
2018-06-27T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.0
2018-06-28T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0820",0.65
2018-06-29T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",1.73
2018-06-30T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.0
2018-07-01T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.0
2018-07-02T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.0
2018-07-03T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.0
2018-07-04T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.11
2018-07-05T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.0
2018-07-06T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0808",0.07
2018-07-07T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.13
2018-07-08T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.0
2018-07-09T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.0
2018-07-10T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.0
2018-07-11T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.0
2018-07-12T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.0
2018-07-13T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.0
2018-07-14T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.0
2018-07-15T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0731",0.49
2018-07-16T00:00:00,PRCP,GHCND:US1CTFR0039,"T,,N,0800",0.0
2018-07-17T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.0
2018-07-18T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.99
2018-07-19T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.0
2018-07-20T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.0
2018-07-21T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0800",0.0
2018-07-22T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0730",0.83
2018-07-23T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,0830",0.31
